Bank Code,IFSC
KHCX,ICIC00KDCBL
KHDX,GSCB0UKPCBL
KHNX,HDFC0CKSBL1
KHTX,ORCB0KHU001
KHUX,HDFC0CKUB01
KICX,UTIB0KAIT01
KJSB,KJSB0000001
KKBK,KKBK0RTGSMI
KKMX,HDFC0CKMNSB
KKSX,IBKL0463KS1
KLGB,KLGB0000001
KMCB,KKBK0KMCB02
KMCX,UTIB0SKMCBL
KMNX,YESB0KMNSB2
KMSX,HDFC0CKMB01
KNBX,IBKL01282KB
KNCX,UTIB0KCCB01
KNNX,IBKL0100SKP
KNSB,ICIC00KURLA
KNSX,UTIB0SKNSB2
KOBX,SVCB0035002
KOCX,IBKL0743KMC
KODX,IBKL0269KTC
KORX,ORCB0KPT001
KOSX,HDFC0CKNB02
KOTX,GSCB0KDT001
KOYX,HDFC0CKOUCB
KPCX,IBKL0463KDC
KRCX,KSCB0003001
KRDX,APBL0006001
KRIX,HDFC0CKCCBL
KRMX,KKBK0KCUB01
KRNX,KKBK0TKCB01
KRTX,UTIB0SKRN01
KSBX,IBKL0470KRS
KSCB,KSCB0000001
KSCX,IBKL046KS01
KSMX,GSCB0UKMCBL
KSNX,HDFC0CKSBNB
KSTX,IBKL0450KCT
KSUX,HDFC0CKUCPL
KTCX,UTIB0SKPT01
KTDX,YESB0KCCB01
KTTX,NA
KUBX,UTIB0SKU399
KUCB,KUCB0488036
KUCX,HDFC0CKUCBL
KUKX,HDFC0CTKNSB
KULX,IBKL0116KUC
KUMX,TNSC0010400
KUNS,KNSB0000001
KUOB,YESB0KNUCB1
KURX,UTIB0KURU01
KUTX,IBKL01307KU
KVBL,KVBL0001260
KVCX,HDFC0CKUCBS
KVGB,KVGB0000001
KYDX,KSCB0017001
LATX,IBKL0497LUC
LBMX,ICIC00LMNSB
LCBX,HDFC0CLCBLO
LCCX,UTIB0SLDH01
LDCX,IBKL0497LDC
LDPX,UTIB0SLDP47
LECX,IBKL0186LEC
LICB,HDFC0CLLC02
LKCX,NA
LKHX,YESB0LUBLMP
LKMX,IBKL0478LOK
LMNX,YESB0LMNSB2
LNSX,UTIB0SLNSB1
LOKX,YESB0LNSB01
LONX,HDFC0CLSABL
LULX,ICIC00LUCBL
MABL,HDFC0CMCOBL
MACX,HDFC0CMBCUB
MADX,SBIN0RRMBGB
MAHB,MAHB0003007
MAHX,SVCB0012002
MAJX,ICIC00MCUBL
MAKX,YESB0MIEB02
MALX,HDFC0CMUCBL
